"pers_id","cntry","NUTS1","NUTS2","NUTS3","gender","age","educ","inc_dec","migbck","rur","rur_cont","plid","urid","rurid","lr","immi","resbio","res","thermo.in","thermo.out","int.in","open.in","hon.in","self.in","hypo.in","int.out","open.out","hon.out","self.out","hypo.out","eco","rep1","rep2","cult1","cult2","AP_Wag","galtan19","galtan23","family23","reg_unemp","pop_delta","popdens_n3","EQI"
24,"DK","DK0","DK01","DK011","female",30,"Low",10,"Yes","urban","Very urban",7,8,7,4,2,"The suburbs or outskirts of a big city","A big city",74,96,2,5,3,5,4,5,5,2,2,1,3,2,3,3,2,27.9286591156826,5,5.42857,"socialist",5.2,12.7,4578,1.557
25,"DK","DK0","DK02","DK022","male",74,"High",4,"Yes","urban","Very urban",5,5,5,0,10,"A big city","A town or small city",50,50,3,3,3,4,4,3,2,4,3,3,1,4,2,3,3,35.0456844704166,5,5.42857,"socialist",4.6,7.5,93.3,1.67
26,"DK","DK0","DK04","DK041","male",47,"Low",5,"No","urban","Very urban",9,7,7,4,8,"A farm or home in the countryside","A town or small city",60,65,4,4,4,4,3,4,3,4,3,4,3,2,2,2,1,24.4507668591396,5,5.42857,"socialist",5.4,12.6,61.1,1.941
27,"DK","DK0","DK01","DK014","male",69,"High",3,"No","urban","Very urban",10,7,7,4,8,"A big city","A town or small city",90,90,3,4,4,2,1,4,3,5,2,1,4,2,1,1,1,29.414962179136,5,5.42857,"socialist",5.2,12.7,68.2,1.557
28,"DK","DK0","DK04","DK042","male",51,"Low",NA,"No","urban","Rather urban",9,6,7,7,5,"A big city","A town or small city",55,50,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8.11233628494283,5,5.42857,"socialist",5.4,12.6,156.5,1.941
29,"DK","DK0","DK04","DK042","female",73,"Low",3,"No","urban","Rather urban",10,6,4,8,3,"A big city","A town or small city",80,80,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,15.0628682527598,5,5.42857,"socialist",5.4,12.6,156.5,1.941
30,"DK","DK0","DK01","DK012","male",73,"Low",6,"No","urban","Rather urban",9,8,6,3,7,"The suburbs or outskirts of a big city","The suburbs or outskirts of a big city",80,80,4,4,4,2,1,4,4,5,2,1,3,2,2,2,4,27.420612684621,5,5.42857,"socialist",5.2,12.7,1665,1.557
31,"DK","DK0","DK04","DK042","female",67,"Low",7,"No","urban","Very urban",9,8,7,5,8,"The suburbs or outskirts of a big city","The suburbs or outskirts of a big city",51,51,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,27.4679813601218,5,5.42857,"socialist",5.4,12.6,156.5,1.941
32,"DK","DK0","DK01","DK012","male",72,"Low",4,"No","urban","Very urban",10,9,6,4,5,"A farm or home in the countryside","The suburbs or outskirts of a big city",75,50,3,2,2,4,4,3,4,4,4,3,4,3,2,4,3,29.1391489237418,5,5.42857,"socialist",5.2,12.7,1665,1.557
33,"DK","DK0","DK03","DK032","female",42,"High",10,"No","urban","Rather urban",7,5,5,3,5,"A town or small city","The suburbs or outskirts of a big city",70,51,3,4,4,4,3,3,3,4,2,3,3,2,4,4,1,27.5274408545364,5,5.42857,"socialist",5.2,7.3,84.4,1.856
34,"DK","DK0","DK01","DK012","female",54,"High",10,"No","urban","Very urban",9,7,6,5,8,"A town or small city","The suburbs or outskirts of a big city",74,67,3,3,3,2,2,4,4,4,2,2,4,2,2,2,3,19.8567368920475,5,5.42857,"socialist",5.2,12.7,1665,1.557
35,"DK","DK0","DK04","DK042","female",45,"High",6,"No","urban","Rather urban",7,5,6,3,5,"A town or small city","A town or small city",43,59,3,3,3,4,4,3,3,3,3,3,2,2,2,4,3,18.0002777756345,5,5.42857,"socialist",5.4,12.6,156.5,1.941
36,"DK","DK0","DK05","DK050","male",74,"Low",9,"No","urban","Rather urban",10,8,2,5,5,"The suburbs or outskirts of a big city","The suburbs or outskirts of a big city",70,60,3,4,3,4,4,2,4,4,2,2,3,4,2,4,3,26.1245095647746,5,5.42857,"socialist",4.7,4.9,76.5,2.104
37,"DK","DK0","DK04","DK042","female",27,"Low",4,"Yes","rural","Very rural",10,8,8,4,2,"A country village","A big city",98,99,3,4,5,2,2,3,1,4,4,4,3,3,2,2,2,32.4013888591215,5,5.42857,"socialist",5.4,12.6,156.5,1.941
38,"DK","DK0","DK03","DK031","female",55,"Low",5,"No","rural","Very rural",8,2,6,5,7,"A big city","A country village",65,59,3,4,4,2,2,3,2,3,3,4,4,5,4,3,4,19.0538709977789,5,5.42857,"socialist",5.2,7.3,146.2,1.856
39,"DK","DK0","DK04","DK042","male",58,"Low",10,"No","urban","Very urban",9,7,6,4,2,"A big city","The suburbs or outskirts of a big city",69,71,2,4,3,3,3,2,4,3,3,3,2,2,1,2,2,28.1888275740585,5,5.42857,"socialist",5.4,12.6,156.5,1.941
40,"DK","DK0","DK04","DK041","female",58,"Low",8,"No","urban","Rather urban",10,9,8,5,5,"A town or small city","A town or small city",60,65,3,3,2,3,3,3,4,4,4,2,4,4,4,3,3,13.4089522334894,5,5.42857,"socialist",5.4,12.6,61.1,1.941
41,"DK","DK0","DK04","DK041","female",59,"Low",NA,"No","rural","Very rural",8,7,8,4,5,"A big city","A country village",76,76,5,4,5,3,3,5,4,5,3,3,3,4,3,3,3,14.3944433723573,5,5.42857,"socialist",5.4,12.6,61.1,1.941
42,"DK","DK0","DK05","DK050","female",37,"High",3,"Yes","urban","Rather urban",9,10,8,8,8,"A big city","A town or small city",69,69,4,4,4,4,3,4,4,4,4,3,2,2,2,3,2,23.5594991457798,5,5.42857,"socialist",4.7,4.9,76.5,2.104
43,"DK","DK0","DK01","DK012","male",67,"Low",6,"No","urban","Very urban",10,5,5,4,5,"A town or small city","The suburbs or outskirts of a big city",60,60,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,30.9554518623134,5,5.42857,"socialist",5.2,12.7,1665,1.557
44,"DK","DK0","DK02","DK021","female",62,"Low",NA,"No","urban","Rather urban",10,1,9,1,10,"A country village","The suburbs or outskirts of a big city",55,87,3,3,3,5,5,3,5,5,3,2,3,3,3,3,3,35.2563469463301,5,5.42857,"socialist",4.6,7.5,318.1,1.67
45,"DK","DK0","DK01","DK011","female",72,"High",5,"No","urban","Very urban",10,7,10,3,5,"A big city","A big city",100,100,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,37.8449468225284,5,5.42857,"socialist",5.2,12.7,4578,1.557
46,"DK","DK0","DK01","DK011","female",39,"Low",5,"No","urban","Very urban",10,5,5,8,2,"A town or small city","A big city",50,50,3,3,3,4,3,3,3,4,2,3,3,3,3,3,3,22.0547047135073,5,5.42857,"socialist",5.2,12.7,4578,1.557
47,"DK","DK0","DK01","DK012","male",71,"Low",NA,"Yes","urban","Very urban",5,5,5,4,2,"A town or small city","The suburbs or outskirts of a big city",50,50,3,4,3,4,3,3,4,4,3,3,3,2,3,3,3,17.7372489411408,5,5.42857,"socialist",5.2,12.7,1665,1.557
48,"DK","DK0","DK04","DK041","male",59,"High",10,"Yes","urban","Very urban",6,8,5,5,6,"A big city","A town or small city",70,70,3,4,2,4,4,3,2,4,2,3,3,2,4,3,3,16.9260154791374,5,5.42857,"socialist",5.4,12.6,61.1,1.941
49,"DK","DK0","DK03","DK032","male",73,"Low",4,"Yes","rural","Very rural",10,4,10,7,8,"A town or small city","A farm or home in the countryside",28,74,5,5,5,3,1,4,5,1,1,1,4,5,5,5,5,29.2658504062329,5,5.42857,"socialist",5.2,7.3,84.4,1.856
50,"DK","DK0","DK04","DK042","female",64,"Low",NA,"No","rural","Very rural",10,5,7,8,2,"The suburbs or outskirts of a big city","A town or small city",93,79,4,5,4,2,3,4,3,4,4,3,4,4,3,2,4,18.9633857736428,5,5.42857,"socialist",5.4,12.6,156.5,1.941
51,"DK","DK0","DK04","DK041","female",45,"Low",NA,"No","urban","Rather urban",10,5,5,5,3,"A town or small city","A town or small city",49,82,3,4,3,4,3,4,4,3,2,3,3,3,2,4,1,4.1,5,5.42857,"socialist",5.4,12.6,61.1,1.941
52,"DK","DK0","DK03","DK031","male",66,"Low",5,"Yes","urban","Very urban",10,8,8,2,7,"A country village","A big city",70,70,3,4,3,3,3,3,2,4,4,3,3,2,2,3,2,26.6437609957754,5,5.42857,"socialist",5.2,7.3,146.2,1.856
53,"DK","DK0","DK04","DK041","female",43,"Low",10,"No","rural","Rather rural",8,5,7,7,4,"A town or small city","A country village",50,50,4,4,4,3,2,4,4,4,3,2,3,4,4,3,3,19.9722307216795,5,5.42857,"socialist",5.4,12.6,61.1,1.941
54,"DK","DK0","DK04","DK042","male",67,"Low",5,"Yes","urban","Rather urban",10,8,2,2,3,"A town or small city","A town or small city",50,52,3,2,2,4,4,2,2,2,5,4,3,2,2,2,2,25.0521456166932,5,5.42857,"socialist",5.4,12.6,156.5,1.941
55,"DK","DK0","DK04","DK042","female",57,"High",4,"No","urban","Very urban",7,7,4,4,5,"A farm or home in the countryside","A big city",85,85,3,2,2,3,1,3,4,3,2,1,1,4,1,1,1,26.766396843804,5,5.42857,"socialist",5.4,12.6,156.5,1.941
56,"DK","DK0","DK04","DK042","male",55,"High",8,"No","urban","Very urban",8,5,5,2,5,"The suburbs or outskirts of a big city","A big city",50,51,4,4,4,3,3,4,4,4,3,3,4,4,4,4,4,29.7859027058103,5,5.42857,"socialist",5.4,12.6,156.5,1.941
57,"DK","DK0","DK01","DK012","male",52,"High",6,"Yes","urban","Very urban",6,7,6,5,5,"A town or small city","The suburbs or outskirts of a big city",59,48,3,3,3,4,4,3,1,3,3,2,3,2,4,2,3,22.8726911403097,5,5.42857,"socialist",5.2,12.7,1665,1.557
58,"DK","DK0","DK01","DK011","male",51,"Low",9,"No","urban","Very urban",8,5,5,4,6,"The suburbs or outskirts of a big city","The suburbs or outskirts of a big city",50,50,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,16.6340013225922,5,5.42857,"socialist",5.2,12.7,4578,1.557
59,"DK","DK0","DK03","DK032","male",72,"Low",2,"No","urban","Very urban",10,8,9,10,5,"A town or small city","The suburbs or outskirts of a big city",50,51,5,5,3,3,3,5,5,5,2,1,2,4,3,2,2,27.6385600203773,5,5.42857,"socialist",5.2,7.3,84.4,1.856
60,"DK","DK0","DK04","DK041","male",64,"Low",5,"No","rural","Very rural",10,3,7,3,4,"A farm or home in the countryside","A farm or home in the countryside",80,30,4,5,5,4,1,3,3,3,5,3,4,5,4,4,4,35.7300993561451,5,5.42857,"socialist",5.4,12.6,61.1,1.941
61,"DK","DK0","DK04","DK042","female",20,"Low",10,"No","urban","Very urban",9,9,6,6,5,"A big city","A big city",88,71,4,4,2,4,2,4,2,4,4,3,3,2,4,2,4,24.8306262506607,5,5.42857,"socialist",5.4,12.6,156.5,1.941
62,"DK","DK0","DK05","DK050","female",50,"Low",3,"No","urban","Very urban",10,7,8,2,5,"A big city","A big city",80,61,3,4,4,4,3,3,2,4,2,3,3,4,2,4,4,17.041420128616,5,5.42857,"socialist",4.7,4.9,76.5,2.104
63,"DK","DK0","DK03","DK032","female",60,"Low",NA,"No","urban","Very urban",10,6,8,1,0,"A big city","A town or small city",81,54,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,23.5796522451032,5,5.42857,"socialist",5.2,7.3,84.4,1.856
64,"DK","DK0","DK04","DK042","male",45,"Low",5,"No","urban","Rather urban",7,7,5,5,2,"A big city","A town or small city",55,45,2,2,3,4,4,3,3,4,2,3,2,1,1,1,1,19.2031247457282,5,5.42857,"socialist",5.4,12.6,156.5,1.941
65,"DK","DK0","DK01","DK011","female",73,"Low",2,"No","urban","Very urban",10,7,5,8,1,"A big city","A big city",65,55,3,4,3,4,2,3,2,4,3,2,3,3,3,2,2,15.1594854793954,5,5.42857,"socialist",5.2,12.7,4578,1.557
66,"DK","DK0","DK01","DK011","female",35,"Low",2,"No","urban","Very urban",6,10,10,5,0,"The suburbs or outskirts of a big city","A big city",52,60,4,4,4,2,1,4,4,4,2,2,2,4,4,2,4,23.6651642715617,5,5.42857,"socialist",5.2,12.7,4578,1.557
67,"DK","DK0","DK05","DK050","female",66,"Low",3,"No","urban","Very urban",10,4,10,5,3,"A big city","A big city",80,90,3,4,3,4,2,3,2,4,2,2,2,3,1,1,1,32.4924606639756,5,5.42857,"socialist",4.7,4.9,76.5,2.104
68,"DK","DK0","DK03","DK032","male",70,"Low",3,"No","rural","Rather rural",8,7,8,3,4,"A big city","A farm or home in the countryside",69,13,3,4,3,4,2,3,2,4,4,4,3,4,3,4,4,24.2932089275995,5,5.42857,"socialist",5.2,7.3,84.4,1.856
69,"DK","DK0","DK02","DK021","male",71,"Low",7,"No","rural","Rather rural",5,5,5,3,7,"A farm or home in the countryside","A country village",64,48,3,2,4,3,3,3,4,3,4,3,2,2,3,3,2,24.9697817371318,5,5.42857,"socialist",4.6,7.5,318.1,1.67
70,"DK","DK0","DK03","DK031","female",72,"Low",6,"No","urban","Rather urban",6,7,8,6,4,"A town or small city","A town or small city",62,70,3,3,3,4,3,3,4,4,3,3,2,3,1,2,2,10.4517941043631,5,5.42857,"socialist",5.2,7.3,146.2,1.856
71,"DK","DK0","DK03","DK032","female",57,"High",7,"Yes","rural","Rather rural",8,5,6,7,7,"A country village","A town or small city",4,33,4,3,3,3,3,4,4,4,3,3,3,3,3,3,3,28.0551243091169,5,5.42857,"socialist",5.2,7.3,84.4,1.856
72,"DK","DK0","DK04","DK042","male",65,"Low",6,"No","urban","Very urban",10,9,5,2,4,"A town or small city","A town or small city",50,50,4,4,3,4,1,4,3,4,4,1,2,4,2,1,1,26.7992537209528,5,5.42857,"socialist",5.4,12.6,156.5,1.941
73,"DK","DK0","DK01","DK013","male",80,"Low",6,"No","urban","Very urban",10,9,6,4,6,"A big city","A town or small city",43,64,4,2,2,4,4,4,4,4,2,4,4,4,4,2,2,15.648961626894,5,5.42857,"socialist",5.2,12.7,344.4,1.557
74,"DK","DK0","DK01","DK013","male",73,"High",2,"No","rural","Rather rural",10,7,7,4,8,"The suburbs or outskirts of a big city","The suburbs or outskirts of a big city",70,60,3,2,4,4,3,4,4,4,3,3,3,2,3,3,4,20.3570626564836,5,5.42857,"socialist",5.2,12.7,344.4,1.557
75,"DK","DK0","DK04","DK041","female",74,"Low",4,"No","urban","Rather urban",10,4,4,8,5,"A country village","A town or small city",50,70,3,3,3,3,3,3,4,4,3,2,2,3,2,2,1,24.1495341569977,5,5.42857,"socialist",5.4,12.6,61.1,1.941
76,"DK","DK0","DK01","DK012","female",37,"Low",1,"No","urban","Very urban",8,6,7,9,5,"The suburbs or outskirts of a big city","The suburbs or outskirts of a big city",64,95,4,3,2,3,4,4,4,3,2,3,3,4,3,4,2,25.0910342552873,5,5.42857,"socialist",5.2,12.7,1665,1.557
77,"DK","DK0","DK05","DK050","female",25,"Low",10,"No","urban","Very urban",7,6,7,7,6,"A farm or home in the countryside","A big city",61,71,4,4,3,4,4,3,4,4,2,2,4,3,3,2,2,17.8552513283908,5,5.42857,"socialist",4.7,4.9,76.5,2.104
78,"DK","DK0","DK01","DK012","male",64,"High",10,"No","urban","Very urban",10,7,9,5,5,"The suburbs or outskirts of a big city","The suburbs or outskirts of a big city",70,86,3,4,3,2,3,3,4,4,3,3,2,4,1,2,1,20.3639387152879,5,5.42857,"socialist",5.2,12.7,1665,1.557
79,"DK","DK0","DK02","DK021","female",70,"Low",7,"No","rural","Very rural",10,1,10,3,6,"A country village","A country village",75,46,4,2,4,1,1,4,2,4,2,1,4,4,4,3,3,26.5346942699553,5,5.42857,"socialist",4.6,7.5,318.1,1.67
80,"DK","DK0","DK03","DK032","male",57,"High",6,"Yes","urban","Very urban",8,7,4,5,5,"A big city","A big city",70,60,3,4,4,4,3,3,4,4,4,3,3,3,3,3,3,13.2680066324976,5,5.42857,"socialist",5.2,7.3,84.4,1.856
81,"DK","DK0","DK04","DK042","male",47,"Low",4,"No","urban","Very urban",5,7,3,4,3,"A town or small city","The suburbs or outskirts of a big city",49,30,4,3,3,4,3,3,4,3,3,3,4,3,2,3,2,20.2783135393454,5,5.42857,"socialist",5.4,12.6,156.5,1.941
82,"DK","DK0","DK01","DK013","male",72,"High",NA,"No","rural","Very rural",10,6,6,4,10,"The suburbs or outskirts of a big city","The suburbs or outskirts of a big city",50,50,4,3,4,3,3,4,4,3,3,3,1,1,2,3,3,30.4460178020049,5,5.42857,"socialist",5.2,12.7,344.4,1.557
83,"DK","DK0","DK05","DK050","male",66,"Low",2,"No","urban","Very urban",9,6,6,5,0,"A big city","A town or small city",50,50,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,15,5,5.42857,"socialist",4.7,4.9,76.5,2.104
84,"DK","DK0","DK01","DK012","female",76,"Low",1,"No","urban","Very urban",10,4,7,6,6,"A big city","A big city",70,75,4,3,3,2,2,3,4,4,2,2,3,3,3,3,3,21.2153246498846,5,5.42857,"socialist",5.2,12.7,1665,1.557
85,"DK","DK0","DK02","DK022","male",47,"Low",NA,"Yes","urban","Very urban",10,7,9,6,6,"A big city","A big city",54,41,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,24.2437620842971,5,5.42857,"socialist",4.6,7.5,93.3,1.67
86,"DK","DK0","DK03","DK032","male",75,"Low",5,"No","urban","Very urban",10,10,10,5,10,"A big city","A town or small city",61,58,3,4,4,3,3,4,4,4,3,3,1,1,1,1,1,32.9759002909701,5,5.42857,"socialist",5.2,7.3,84.4,1.856
87,"DK","DK0","DK05","DK050","male",21,"Low",NA,"No","rural","Very rural",9,8,6,8,6,"A farm or home in the countryside","A farm or home in the countryside",71,51,4,3,5,1,1,3,4,4,4,3,5,4,4,3,3,11.2356575241505,5,5.42857,"socialist",4.7,4.9,76.5,2.104
88,"DK","DK0","DK01","DK012","male",72,"Low",3,"No","urban","Very urban",8,8,4,7,5,"A big city","The suburbs or outskirts of a big city",72,72,3,3,3,3,3,3,3,3,3,3,4,3,2,3,1,23.9674779649424,5,5.42857,"socialist",5.2,12.7,1665,1.557
89,"DK","DK0","DK03","DK032","female",75,"Low",2,"No","urban","Rather urban",6,6,6,8,3,"A country village","A country village",50,49,3,4,4,3,3,3,4,4,3,3,3,3,2,3,3,19.4486503387767,5,5.42857,"socialist",5.2,7.3,84.4,1.856
90,"DK","DK0","DK03","DK032","male",74,"Low",NA,"No","urban","Very urban",10,7,5,5,6,"A farm or home in the countryside","The suburbs or outskirts of a big city",59,59,3,3,4,3,2,3,3,4,3,2,4,2,2,2,1,23.91338537305,5,5.42857,"socialist",5.2,7.3,84.4,1.856
91,"DK","DK0","DK04","DK042","male",57,"Low",2,"Yes","rural","Very rural",10,3,7,6,0,"A country village","A country village",70,50,3,4,3,2,1,3,2,2,4,5,5,5,5,4,4,27.9041215593683,5,5.42857,"socialist",5.4,12.6,156.5,1.941
92,"DK","DK0","DK01","DK012","male",69,"Low",7,"No","urban","Very urban",10,10,10,3,9,"The suburbs or outskirts of a big city","The suburbs or outskirts of a big city",51,51,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,35.0714983996977,5,5.42857,"socialist",5.2,12.7,1665,1.557
93,"DK","DK0","DK02","DK021","male",41,"High",9,"No","urban","Rather urban",6,6,4,6,3,"A big city","The suburbs or outskirts of a big city",57,76,4,4,2,4,3,2,2,4,3,3,4,3,4,4,3,16.166632302369,5,5.42857,"socialist",4.6,7.5,318.1,1.67
94,"DK","DK0","DK02","DK022","male",38,"High",5,"No","rural","Rather rural",8,4,7,5,4,"A country village","A country village",55,50,3,3,4,2,2,3,3,2,4,3,4,5,4,3,3,11.0616454472199,5,5.42857,"socialist",4.6,7.5,93.3,1.67
95,"DK","DK0","DK03","DK031","female",45,"Low",8,"No","urban","Rather urban",9,5,6,4,5,"The suburbs or outskirts of a big city","The suburbs or outskirts of a big city",60,60,4,4,3,4,4,3,2,4,3,4,2,1,1,2,4,20.4694894904587,5,5.42857,"socialist",5.2,7.3,146.2,1.856
96,"DK","DK0","DK03","DK031","male",75,"Low",6,"No","rural","Very rural",9,5,8,4,5,"A farm or home in the countryside","A country village",89,50,4,3,4,2,2,3,2,2,4,4,1,3,3,4,3,23.1276890328455,5,5.42857,"socialist",5.2,7.3,146.2,1.856
97,"DK","DK0","DK04","DK041","female",29,"High",4,"No","urban","Rather urban",8,9,2,6,5,"A town or small city","A town or small city",40,60,4,3,2,5,4,3,2,4,2,2,3,4,3,4,2,10.8148046676766,5,5.42857,"socialist",5.4,12.6,61.1,1.941
98,"DK","DK0","DK01","DK013","female",35,"High",NA,"Yes","rural","Very rural",8,5,8,3,7,"A country village","A country village",67,57,4,5,4,3,3,4,3,3,3,4,3,3,3,3,3,30.5031145950704,5,5.42857,"socialist",5.2,12.7,344.4,1.557
99,"DK","DK0","DK04","DK042","female",46,"Low",3,"No","urban","Very urban",10,8,6,3,0,"A town or small city","A town or small city",68,79,4,3,3,4,3,4,5,5,2,2,4,2,2,3,4,18.4350210197873,5,5.42857,"socialist",5.4,12.6,156.5,1.941
100,"DK","DK0","DK03","DK032","male",73,"High",8,"Yes","urban","Very urban",9,3,7,4,6,"A big city","A big city",50,60,3,3,2,3,4,3,2,4,3,2,3,3,3,3,2,30.1688581156132,5,5.42857,"socialist",5.2,7.3,84.4,1.856
