ResponseId,b1_pid3,b1_pid3_t,b1_pid7,benefits_wrong_deny,benefits_wrong_receive,benefits_wrong_apply,assign_abstract_fraud_orde,abstract_wrong_count,abstract_wrong_not_count,abstract_wrong_not_vote,abstract_frequency_count,abstract_frequency_not_cou,abstract_frequency_not_vot,assign_vignette,assign_vignette_support,assign_vignette_wording,wording_wrong_serious,vignette_uncounted,vignette_forgone,vignette_fraudulent,elections_mistake,fraud_democrat_loses,fraud_republican_loses,ballot_security,vote_secrecy,assign_vote_accuracy_order,mail_in_vote_accuracy,in_person_vote_accuracy,weight,Party,vignette_error,vignette_support,vignette_wording,vignette_dv,worse_mistake,vignette_interaction,own_party,error_hurt
24,2,__NA__,7,5,5,5,2,5,3,5,5,4,3,2,1,1,1,,5,,2,4,2,5,4,1,4,2,0.933281562394425,Republican,Forgone,Biden,wrong,0.666666666666667,Fraudulent,Forgone-Biden,0,0
25,3,__NA__,3,3,7,3,1,3,3,3,5,5,0,2,1,1,1,,3,,2,5,5,4,9,1,3,2,0.353610596190663,Democrat,Forgone,Biden,wrong,0.333333333333333,Fraudulent,Forgone-Biden,1,1
26,2,__NA__,7,5,5,4,2,7,7,5,10,60,0,2,1,1,1,,5,,1,4,1,3,1,1,3,4,1.87423761221637,Republican,Forgone,Biden,wrong,0.666666666666667,Uncounted,Forgone-Biden,0,0
27,2,__NA__,7,5,7,5,1,7,7,7,50,,,2,2,2,2,,5,,2,2,1,6,5,2,9,9,5.75135910797492,Republican,Forgone,Trump,serious,0.666666666666667,Fraudulent,Forgone-Trump,1,1
28,3,__NA__,3,7,2,6,2,2,5,7,0,0,10,2,1,2,2,,7,,1,4,4,1,2,1,1,1,0.41638951894372,Democrat,Forgone,Biden,serious,1,Uncounted,Forgone-Biden,1,1
29,3,__NA__,3,5,7,5,1,7,4,5,1,0,0,3,3,1,1,,,4,2,4,4,2,9,2,1,1,0.305415799879145,Democrat,Fraudulent,None,wrong,0.5,Fraudulent,Fraudulent-None,0,1
30,4,Libertarian,5,7,7,6,1,6,6,5,0,0,0,2,2,2,2,,6,,,4,4,3,2,2,1,1,0.37418661215341,Republican,Forgone,Trump,serious,0.833333333333333,,Forgone-Trump,1,1
31,1,__NA__,1,7,7,7,2,7,7,7,60,25,10,2,2,2,2,,7,,2,5,5,1,5,2,1,1,0.297615550378465,Democrat,Forgone,Trump,serious,1,Fraudulent,Forgone-Trump,0,0
32,2,__NA__,7,7,7,6,1,2,4,3,1,2,1,2,2,1,1,,6,,1,4,4,2,2,2,1,1,0.161289233570156,Republican,Forgone,Trump,wrong,0.833333333333333,Uncounted,Forgone-Trump,1,1
33,1,__NA__,2,7,7,7,2,7,7,7,0,0,100,3,3,2,2,,,7,1,4,4,2,5,1,1,1,0.694133307995598,Democrat,Fraudulent,None,serious,1,Uncounted,Fraudulent-None,0,1
34,5,__NA__,3,7,2,7,1,7,7,7,0,0,5,2,3,2,2,,7,,1,2,4,3,2,2,2,2,1.39484388042395,Democrat,Forgone,None,serious,1,Uncounted,Forgone-None,0,0
35,3,__NA__,5,7,5,5,1,7,5,5,50,0,0,2,2,1,1,,7,,1,4,1,4,4,1,4,1,0.331347850696969,Republican,Forgone,Trump,wrong,1,Uncounted,Forgone-Trump,1,1
36,3,__NA__,5,3,5,3,1,7,7,5,1,1,1,1,3,1,1,7,,,2,4,1,5,3,1,4,2,0.637814440340861,Republican,Uncounted,None,wrong,1,Fraudulent,Uncounted-None,0,0
37,1,__NA__,2,3,3,3,1,2,5,7,20,10,10,3,3,2,2,,,7,2,2,4,2,3,1,2,2,0.717937062442636,Democrat,Fraudulent,None,serious,1,Fraudulent,Fraudulent-None,0,1
38,1,__NA__,1,7,7,7,2,7,7,7,3,0,5,3,3,2,2,,,4,2,4,4,1,2,1,1,1,0.309278312165161,Democrat,Fraudulent,None,serious,0.5,Fraudulent,Fraudulent-None,0,1
39,1,__NA__,1,5,5,5,1,7,7,7,1,100,10,1,3,1,1,7,,,1,4,4,1,3,1,1,1,0.233358494821166,Democrat,Uncounted,None,wrong,1,Uncounted,Uncounted-None,0,0
40,3,__NA__,3,7,5,6,1,7,7,7,0.5,0.5,0.5,1,2,2,2,7,,,1,1,4,1,2,1,1,1,0.627577474159997,Democrat,Uncounted,Trump,serious,1,Uncounted,Uncounted-Trump,0,0
41,1,__NA__,2,5,3,3,2,5,6,2,0,2,1,3,1,1,1,,,5,2,4,4,3,3,1,1,1,1.24735542610816,Democrat,Fraudulent,Biden,wrong,0.666666666666667,Fraudulent,Fraudulent-Biden,1,0
42,3,__NA__,5,7,7,5,2,7,7,7,50,25,55,2,1,2,2,,7,,2,1,1,5,5,1,4,2,0.342000321969979,Republican,Forgone,Biden,serious,1,Fraudulent,Forgone-Biden,0,0
43,4,Conservative,5,6,7,5,1,7,7,5,45,35,5,2,2,2,2,,7,,2,4,1,4,4,1,4,2,0.429964496991374,Republican,Forgone,Trump,serious,1,Fraudulent,Forgone-Trump,1,1
44,2,__NA__,7,6,6,6,2,5,6,6,5,5,5,1,3,2,2,5,,,1,4,4,2,2,2,2,1,0.0419100696704556,Republican,Uncounted,None,serious,0.666666666666667,Uncounted,Uncounted-None,0,0
45,4,progressive,3,6,4,7,1,5,7,7,1,5,5,2,2,1,1,,5,,1,5,5,2,4,1,9,1,0.78836038868465,Democrat,Forgone,Trump,wrong,0.666666666666667,Uncounted,Forgone-Trump,0,0
46,1,__NA__,1,7,7,7,2,7,7,7,0,0,10,1,1,2,2,7,,,2,4,4,2,3,1,1,1,0.359771833923796,Democrat,Uncounted,Biden,serious,1,Fraudulent,Uncounted-Biden,1,1
47,2,__NA__,6,3,7,3,1,7,5,2,25,4,9,1,2,1,1,3,,,2,3,1,5,4,1,4,2,0.609329404292943,Republican,Uncounted,Trump,wrong,0.333333333333333,Fraudulent,Uncounted-Trump,1,1
48,5,__NA__,5,6,6,6,2,7,6,6,10,10,5,2,1,2,2,,1,,2,4,1,5,5,1,4,1,0.319684374011049,Republican,Forgone,Biden,serious,0,Fraudulent,Forgone-Biden,0,0
49,2,__NA__,7,4,4,4,1,4,4,4,10,20,25,3,1,2,2,,,6,2,4,1,3,3,2,3,2,4.5732678027458,Republican,Fraudulent,Biden,serious,0.833333333333333,Fraudulent,Fraudulent-Biden,0,1
50,1,__NA__,1,6,6,6,2,2,3,6,0,5,5,2,2,2,2,,5,,1,4,4,2,2,1,1,1,0.250559227774727,Democrat,Forgone,Trump,serious,0.666666666666667,Uncounted,Forgone-Trump,0,0
51,1,__NA__,1,7,7,7,2,2,2,7,0,8,5,3,1,2,2,,,3,1,4,4,2,2,2,1,1,0.253291688390022,Democrat,Fraudulent,Biden,serious,0.333333333333333,Uncounted,Fraudulent-Biden,1,0
52,3,__NA__,3,7,7,7,2,5,6,6,0,0,0,3,1,1,1,,,7,1,5,4,1,1,2,1,1,0.201132875483928,Democrat,Fraudulent,Biden,wrong,1,Uncounted,Fraudulent-Biden,1,0
53,1,__NA__,1,7,7,7,2,6,6,7,5,10,5,1,1,1,1,6,,,1,5,5,6,3,1,9,9,0.469257933457,Democrat,Uncounted,Biden,wrong,0.833333333333333,Uncounted,Uncounted-Biden,1,1
54,1,__NA__,2,7,7,6,1,2,2,7,1,0,2,2,2,2,2,,6,,1,4,4,2,4,2,2,2,0.746071106266832,Democrat,Forgone,Trump,serious,0.833333333333333,Uncounted,Forgone-Trump,0,0
55,2,__NA__,6,5,1,5,1,6,5,5,50,40,60,2,1,1,1,,2,,2,4,1,4,2,1,4,2,0.524028969088231,Republican,Forgone,Biden,wrong,0.166666666666667,Fraudulent,Forgone-Biden,0,0
56,2,__NA__,6,6,7,,1,7,6,6,30,20,5,1,2,1,1,7,,,2,2,1,5,4,2,4,1,0.396450913235422,Republican,Uncounted,Trump,wrong,1,Fraudulent,Uncounted-Trump,1,1
57,4,Libertarian,5,7,7,5,1,5,5,5,6,5,0,2,1,2,2,,2,,1,4,2,4,4,2,4,1,1.49668277174469,Republican,Forgone,Biden,serious,0.166666666666667,Uncounted,Forgone-Biden,0,0
58,2,__NA__,6,2,7,3,2,5,5,5,5,5,5,1,3,2,2,4,,,2,3,3,4,9,2,2,2,0.306358854353888,Republican,Uncounted,None,serious,0.5,Fraudulent,Uncounted-None,0,0
59,3,__NA__,5,7,7,6,1,7,7,7,25,25,10,2,3,2,2,,7,,2,4,1,5,3,2,4,4,0.27772262594705,Republican,Forgone,None,serious,1,Fraudulent,Forgone-None,0,0
60,2,__NA__,6,7,7,6,1,7,7,7,25,25,15,1,1,1,1,7,,,2,2,2,4,4,1,2,2,1.35172053539971,Republican,Uncounted,Biden,wrong,1,Fraudulent,Uncounted-Biden,0,0
61,2,__NA__,7,6,7,7,2,4,5,5,1,1,0,2,2,2,2,,5,,2,2,2,3,3,1,3,1,0.332351935724786,Republican,Forgone,Trump,serious,0.666666666666667,Fraudulent,Forgone-Trump,1,1
62,3,__NA__,5,7,7,7,1,7,7,7,75,50,80,1,3,2,2,7,,,1,2,2,3,4,1,3,3,6.43622365857457,Republican,Uncounted,None,serious,1,Uncounted,Uncounted-None,0,0
63,1,__NA__,2,7,7,7,1,7,7,7,90,90,90,3,1,2,2,,,4,2,4,4,1,1,1,1,1,0.921147627256214,Democrat,Fraudulent,Biden,serious,0.5,Fraudulent,Fraudulent-Biden,1,0
64,1,__NA__,1,7,5,6,2,7,5,7,0,1,4,2,3,1,1,,5,,1,4,4,1,2,2,1,1,0.485763374306408,Democrat,Forgone,None,wrong,0.666666666666667,Uncounted,Forgone-None,0,0
65,2,__NA__,7,6,7,6,1,6,6,6,100,1,0,1,2,2,2,5,,,2,4,4,2,4,1,3,1,0.521655558188338,Republican,Uncounted,Trump,serious,0.666666666666667,Fraudulent,Uncounted-Trump,1,1
66,2,__NA__,6,6,7,6,1,7,7,7,50,50,1,2,2,1,1,,7,,2,2,2,4,9,2,3,3,1.52181484704853,Republican,Forgone,Trump,wrong,1,Fraudulent,Forgone-Trump,1,1
67,1,__NA__,1,6,6,7,1,7,5,7,0,100,100,2,3,2,2,,7,,1,3,2,1,4,1,2,1,0.463770900230008,Democrat,Forgone,None,serious,1,Uncounted,Forgone-None,0,0
68,1,__NA__,1,6,7,6,1,7,7,7,0,0,1,1,2,1,1,7,,,1,4,4,1,2,1,1,1,0.231480906804849,Democrat,Uncounted,Trump,wrong,1,Uncounted,Uncounted-Trump,0,0
69,2,__NA__,7,5,7,2,2,6,6,3,6,4,0,1,2,2,2,5,,,1,3,1,4,4,2,2,2,0.37143432418624,Republican,Uncounted,Trump,serious,0.666666666666667,Uncounted,Uncounted-Trump,1,1
70,1,__NA__,1,7,6,7,2,4,4,4,0,0,1,3,2,2,2,,,4,1,4,4,2,1,1,1,1,0.9264293622364,Democrat,Fraudulent,Trump,serious,0.5,Uncounted,Fraudulent-Trump,0,1
71,1,__NA__,1,5,5,5,2,3,7,7,0,10,25,3,3,2,2,,,2,1,1,4,2,4,2,1,1,0.488211586656806,Democrat,Fraudulent,None,serious,0.166666666666667,Uncounted,Fraudulent-None,0,1
72,2,__NA__,6,6,7,5,1,7,6,5,9,4,0,1,2,1,1,7,,,2,3,1,4,5,1,4,3,0.402828830016497,Republican,Uncounted,Trump,wrong,1,Fraudulent,Uncounted-Trump,1,1
73,1,__NA__,1,7,7,7,1,7,7,7,0,0,0,2,3,2,2,,7,,2,4,,1,1,1,1,1,0.907382865028223,Democrat,Forgone,None,serious,1,Fraudulent,Forgone-None,0,0
74,3,__NA__,3,5,5,7,1,5,7,7,1,1,2,3,1,2,2,,,5,1,5,5,2,9,1,1,1,0.71888413590129,Democrat,Fraudulent,Biden,serious,0.666666666666667,Uncounted,Fraudulent-Biden,1,0
75,3,__NA__,5,6,5,6,1,7,,7,5,5,1,3,3,1,1,,,7,2,1,2,4,5,2,3,2,0.831889953292863,Republican,Fraudulent,None,wrong,1,Fraudulent,Fraudulent-None,0,1
76,1,__NA__,2,7,7,7,2,6,6,6,0.02,0.01,0.25,3,2,2,2,,,5,1,4,4,1,2,2,1,1,0.535702902125309,Democrat,Fraudulent,Trump,serious,0.666666666666667,Uncounted,Fraudulent-Trump,0,1
77,1,__NA__,1,7,5,7,1,5,6,6,0,5,5,3,1,2,2,,,5,1,2,4,3,2,2,2,2,0.636361709394576,Democrat,Fraudulent,Biden,serious,0.666666666666667,Uncounted,Fraudulent-Biden,1,0
78,3,__NA__,3,6,6,5,1,4,4,5,0,0,1,1,2,1,1,6,,,1,4,4,2,2,1,1,1,0.421950884268297,Democrat,Uncounted,Trump,wrong,0.833333333333333,Uncounted,Uncounted-Trump,0,0
79,1,__NA__,1,6,6,5,2,2,4,7,0,1,1,3,3,2,2,,,2,1,3,3,2,3,2,1,1,0.377407390035889,Democrat,Fraudulent,None,serious,0.166666666666667,Uncounted,Fraudulent-None,0,1
80,2,__NA__,6,6,6,4,2,6,6,6,3,0,0,2,1,1,1,,6,,1,2,2,4,2,2,3,3,1.0698172661236,Republican,Forgone,Biden,wrong,0.833333333333333,Uncounted,Forgone-Biden,0,0
81,1,__NA__,2,7,5,6,2,3,4,6,1,1,5,3,2,2,2,,,5,1,2,4,2,3,2,1,1,0.273306050720051,Democrat,Fraudulent,Trump,serious,0.666666666666667,Uncounted,Fraudulent-Trump,0,1
82,1,__NA__,2,6,2,3,1,5,5,5,30,25,30,2,1,1,1,,3,,1,3,3,3,3,1,2,1,0.543910095223448,Democrat,Forgone,Biden,wrong,0.333333333333333,Uncounted,Forgone-Biden,1,1
83,2,__NA__,7,7,6,6,2,5,5,6,25,2,5,1,2,1,1,7,,,2,4,1,5,5,2,3,3,0.31020261284851,Republican,Uncounted,Trump,wrong,1,Fraudulent,Uncounted-Trump,1,1
84,1,__NA__,1,7,5,7,2,1,6,6,0,0,5,1,1,1,1,6,,,1,4,4,2,2,1,1,1,0.360584170751252,Democrat,Uncounted,Biden,wrong,0.833333333333333,Uncounted,Uncounted-Biden,1,1
85,2,__NA__,7,6,7,7,1,7,7,7,0,0,0,1,2,2,2,7,,,1,4,4,1,3,1,1,1,0.759014807733249,Republican,Uncounted,Trump,serious,1,Uncounted,Uncounted-Trump,1,1
86,2,__NA__,7,6,7,5,2,6,5,5,2,2,2,1,2,1,1,7,,,2,2,2,3,3,2,2,2,0.430087874272595,Republican,Uncounted,Trump,wrong,1,Fraudulent,Uncounted-Trump,1,1
87,3,__NA__,5,4,6,7,2,5,4,6,25,75,15,2,3,1,1,,5,,2,4,1,3,4,2,2,4,6.43622365857457,Republican,Forgone,None,wrong,0.666666666666667,Fraudulent,Forgone-None,0,0
88,1,__NA__,1,5,5,6,1,2,6,6,1,10,20,1,2,2,2,5,,,1,3,4,1,3,2,1,1,0.465482313147587,Democrat,Uncounted,Trump,serious,0.666666666666667,Uncounted,Uncounted-Trump,0,0
89,1,__NA__,1,6,5,6,1,6,7,7,0,0,0,3,1,1,1,,,5,1,5,5,6,9,1,1,1,0.636361709394576,Democrat,Fraudulent,Biden,wrong,0.666666666666667,Uncounted,Fraudulent-Biden,1,0
90,1,__NA__,1,6,5,5,1,6,5,7,100,100,100,3,2,1,1,,,5,2,1,3,2,2,1,1,1,0.44587700506943,Democrat,Fraudulent,Trump,wrong,0.666666666666667,Fraudulent,Fraudulent-Trump,0,1
91,2,__NA__,7,5,5,5,1,6,6,6,5,3,6,1,1,1,1,4,,,1,3,3,4,3,1,2,2,0.936176006651375,Republican,Uncounted,Biden,wrong,0.5,Uncounted,Uncounted-Biden,0,0
92,2,__NA__,7,5,7,3,1,5,5,5,75,50,30,1,2,2,2,7,,,2,4,1,4,3,2,3,3,3.29760132284052,Republican,Uncounted,Trump,serious,1,Fraudulent,Uncounted-Trump,1,1
93,1,__NA__,1,7,7,7,1,7,7,7,0,1,1,2,2,2,2,,7,,1,3,4,1,2,2,1,1,0.781798236195892,Democrat,Forgone,Trump,serious,1,Uncounted,Forgone-Trump,0,0
94,1,__NA__,1,7,6,6,1,5,6,6,0,1,1,1,3,1,1,7,,,1,4,4,2,2,2,1,1,0.430805081478728,Democrat,Uncounted,None,wrong,1,Uncounted,Uncounted-None,0,0
95,3,__NA__,3,5,5,5,2,5,5,6,0,0,3,3,2,2,2,,,2,1,4,4,1,2,2,1,1,0.191306629681059,Democrat,Fraudulent,Trump,serious,0.166666666666667,Uncounted,Fraudulent-Trump,0,1
96,2,__NA__,7,6,7,6,1,7,7,6,10,10,5,1,1,1,1,6,,,1,3,3,3,3,2,2,2,0.787386944706177,Republican,Uncounted,Biden,wrong,0.833333333333333,Uncounted,Uncounted-Biden,0,0
97,2,__NA__,7,3,7,1,1,7,3,5,15,10,0,2,2,2,2,,5,,2,2,1,4,5,1,4,1,0.5113596959573,Republican,Forgone,Trump,serious,0.666666666666667,Fraudulent,Forgone-Trump,1,1
98,2,__NA__,7,5,1,4,1,3,5,3,70,50,25,3,2,2,2,,,5,2,1,4,6,1,2,4,1,4.35472867432719,Republican,Fraudulent,Trump,serious,0.666666666666667,Fraudulent,Fraudulent-Trump,1,0
99,1,__NA__,1,6,5,6,1,3,6,6,0,1,10,3,1,1,1,,,4,1,3,4,2,2,1,1,1,0.233358494821166,Democrat,Fraudulent,Biden,wrong,0.5,Uncounted,Fraudulent-Biden,1,0
100,1,__NA__,1,6,7,6,2,5,6,6,15,100,100,2,3,2,2,,6,,1,2,4,2,5,2,1,1,0.233358494821166,Democrat,Forgone,None,serious,0.833333333333333,Uncounted,Forgone-None,0,0
101,3,__NA__,3,7,5,6,1,5,5,7,0,2,2,2,3,2,2,,6,,2,2,3,3,4,2,1,1,0.18976738837079,Democrat,Forgone,None,serious,0.833333333333333,Fraudulent,Forgone-None,0,0
102,2,__NA__,7,7,6,7,2,7,7,7,20,5,2,1,1,1,1,7,,,1,5,5,4,4,2,3,3,0.562154835793008,Republican,Uncounted,Biden,wrong,1,Uncounted,Uncounted-Biden,0,0
103,1,__NA__,1,7,7,7,2,7,6,7,60,70,70,2,1,1,1,,7,,1,2,3,4,4,1,3,2,0.427338850438059,Democrat,Forgone,Biden,wrong,1,Uncounted,Forgone-Biden,1,1
104,2,__NA__,7,7,7,7,1,5,7,7,8,3,8,3,3,1,1,,,2,1,3,3,3,4,1,2,2,0.940735596017662,Republican,Fraudulent,None,wrong,0.166666666666667,Uncounted,Fraudulent-None,0,1
105,2,__NA__,6,7,6,6,1,6,6,6,40,20,10,1,2,1,1,6,,,2,5,5,3,9,1,9,1,0.396450913235422,Republican,Uncounted,Trump,wrong,0.833333333333333,Fraudulent,Uncounted-Trump,1,1
106,2,__NA__,7,3,5,5,2,3,3,5,15,15,5,3,1,1,1,,,5,2,3,3,3,4,1,2,2,0.936176006651375,Republican,Fraudulent,Biden,wrong,0.666666666666667,Fraudulent,Fraudulent-Biden,0,1
107,1,__NA__,1,6,3,6,1,5,6,5,0,0,0,3,1,2,2,,,6,1,3,2,2,2,1,2,2,3.75926894311562,Democrat,Fraudulent,Biden,serious,0.833333333333333,Uncounted,Fraudulent-Biden,1,0
108,3,__NA__,3,7,7,7,2,1,7,7,1,99,3,1,2,1,1,7,,,1,4,4,2,1,2,2,1,0.394237393667929,Democrat,Uncounted,Trump,wrong,1,Uncounted,Uncounted-Trump,0,0
109,2,__NA__,7,7,7,6,1,6,5,3,3,5,1,3,1,1,1,,,7,2,5,5,3,3,2,2,1,0.42020753810623,Republican,Fraudulent,Biden,wrong,1,Fraudulent,Fraudulent-Biden,0,1
110,1,__NA__,2,7,7,7,2,7,7,7,25,15,20,3,2,1,1,,,7,1,2,5,3,4,1,2,2,6.43622365857457,Democrat,Fraudulent,Trump,wrong,1,Uncounted,Fraudulent-Trump,0,1
111,2,__NA__,7,5,7,5,2,5,5,5,5,5,1,2,1,2,2,,5,,2,4,2,4,4,2,2,2,0.521655558188338,Republican,Forgone,Biden,serious,0.666666666666667,Fraudulent,Forgone-Biden,0,0
112,1,__NA__,1,5,6,5,2,2,5,6,0,10,10,2,3,2,2,,5,,1,4,4,1,3,1,1,1,0.250559227774727,Democrat,Forgone,None,serious,0.666666666666667,Uncounted,Forgone-None,0,0
113,3,__NA__,5,6,7,3,2,7,7,7,10,10,5,1,2,1,1,7,,,2,4,1,5,9,1,2,2,0.496400009231638,Republican,Uncounted,Trump,wrong,1,Fraudulent,Uncounted-Trump,1,1
114,2,__NA__,7,6,6,6,2,5,5,5,5,3,2,2,1,1,1,,5,,1,4,3,3,,1,3,2,0.521655558188338,Republican,Forgone,Biden,wrong,0.666666666666667,Uncounted,Forgone-Biden,0,0
115,2,__NA__,7,6,7,6,2,5,5,5,0.05,1,1,2,2,2,2,,6,,2,2,2,5,3,1,3,3,6.43622365857457,Republican,Forgone,Trump,serious,0.833333333333333,Fraudulent,Forgone-Trump,1,1
116,2,__NA__,7,5,5,,2,7,7,7,7,30,20,1,1,1,1,7,,,1,5,5,5,5,1,3,2,2.87849697456153,Republican,Uncounted,Biden,wrong,1,Uncounted,Uncounted-Biden,0,0
117,2,__NA__,6,6,6,6,1,7,7,6,30,30,3,1,1,1,1,6,,,1,2,1,6,4,2,3,2,0.327312070275981,Republican,Uncounted,Biden,wrong,0.833333333333333,Uncounted,Uncounted-Biden,0,0
118,2,__NA__,7,6,7,7,2,7,6,7,75,100,50,1,1,1,1,5,,,2,3,1,4,2,2,4,2,0.784322112252467,Republican,Uncounted,Biden,wrong,0.666666666666667,Fraudulent,Uncounted-Biden,0,0
119,1,__NA__,1,7,7,7,1,6,7,7,0.1,0.1,4,3,2,2,2,,,3,1,5,5,2,5,2,1,1,0.326809645301622,Democrat,Fraudulent,Trump,serious,0.333333333333333,Uncounted,Fraudulent-Trump,0,1
120,1,__NA__,2,6,5,6,1,6,6,6,0,0,0,1,2,2,2,,,,,4,4,,,2,1,1,0.746071106266832,Democrat,Uncounted,Trump,serious,,,Uncounted-Trump,0,0
121,1,__NA__,1,7,7,6,1,5,7,7,0,0,10,1,3,2,2,7,,,1,4,4,1,2,2,1,1,0.315851694907942,Democrat,Uncounted,None,serious,1,Uncounted,Uncounted-None,0,0
